AnimalName,Symptom,Count,TotalSymptoms,PropWithinSpecies,OverallProportion,Distinctiveness
Birds,Abdominal destention,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Abnormalities,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Anemia,1,185,0.005405405405405406,0.004592422502870264,1.177027027027027
Birds,Anorexia,1,185,0.005405405405405406,0.011710677382319174,0.46157922628510867
Birds,Apathy,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Ataxia,2,185,0.010810810810810811,0.0020665901262916187,5.231231231231232
Birds,Balance problem,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Beak overgrowth,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Blindness,1,185,0.005405405405405406,0.005510907003444317,0.980855855855856
Birds,Bloody in feather,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Bony Lesion,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Chest Pain,2,185,0.010810810810810811,0.0013777267508610792,7.846846846846848
Birds,Chills,1,185,0.005405405405405406,0.0027554535017221583,1.961711711711712
Birds,Cloacal pasting,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Clubbed Feather,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Congestion,1,185,0.005405405405405406,0.0013777267508610792,3.923423423423424
Birds,Coughing,6,185,0.032432432432432434,0.024110218140068886,1.3451737451737453
Birds,Death,1,185,0.005405405405405406,0.017451205510907005,0.30974395448079656
Birds,Defienciency in vitamin,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Dehydration,2,185,0.010810810810810811,0.007807118254879449,1.3847376788553258
Birds,Dejection,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Depression,4,185,0.021621621621621623,0.016991963260619976,1.2724616508400295
Birds,Diarrhea,7,185,0.03783783783783784,0.03329506314580941,1.1364398881640263
Birds,Difficultty in Breathing,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Difficulty in Breathing,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Difficulty in Swallowing,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Difficulty in breathing,1,185,0.005405405405405406,0.008266360505166475,0.653903903903904
Birds,Difficulty in feeding,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Dilation of duodenum,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Diphtherictic,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Discharge From eyes,1,185,0.005405405405405406,0.0006888633754305396,7.846846846846848
Birds,Dry Scabs,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Ear infection,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Emaciation,2,185,0.010810810810810811,0.0027554535017221583,3.923423423423424
Birds,Enlarged Thymus,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Exercise in tolerance,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Exhaustion,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Eye closed,2,185,0.010810810810810811,0.0009184845005740528,11.77027027027027
Birds,Eye disharge,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Fatique,1,185,0.005405405405405406,0.002296211251435132,2.354054054054054
Birds,Feather Loss,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Feather Plucking,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Fever,5,185,0.02702702702702703,0.059931113662456945,0.45096820958889927
Birds,Fluffed Feather,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Forthy eye,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Green Dropping,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Half-closed eye,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Headache,1,185,0.005405405405405406,0.0013777267508610792,3.923423423423424
Birds,Heavy Breathing,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Inappentence,1,185,0.005405405405405406,0.0009184845005740528,5.885135135135135
Birds,Itching,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Kicking at the belly,1,185,0.005405405405405406,0.0006888633754305396,7.846846846846848
Birds,Lack of flying,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Lack of walking,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Lame,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Lameness,1,185,0.005405405405405406,0.009644087256027554,0.5604890604890606
Birds,Legness,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Lepatomegaly,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Less Eat,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Less Feather growth,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Lethargy,5,185,0.02702702702702703,0.019058553386911595,1.4181048518397916
Birds,Liquid Dropping,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
Birds,Loss of Appetite,4,185,0.021621621621621623,0.003214695752009185,6.725868725868726
Birds,Loss of appetite,3,185,0.016216216216216217,0.007807118254879449,2.077106518282989
Birds,Loss of pigment,1,185,0.005405405405405406,0.0004592422502870264,11.77027027027027
